MYYYY_generation,price_per_sq_m,price_direction,date_of_data_generation,id,isExclusiveness,isNew,livingArea,price,num_rooms.x,zipCode,deposit_rate,lagged_CPI,volatility_value,City,num_rooms_categorical,nr_weeks
Jun-22,1646.52568,Stayed the same,26/06/2022,187740797,FALSE,FALSE,66.2,109000,3,42000,-0.5,5.2,28.76,Saint-Etienne,small,1
Jun-22,1361.046634,Stayed the same,26/06/2022,187725757,TRUE,FALSE,94.78,129000,5,42000,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1285.714286,Stayed the same,26/06/2022,188024803,TRUE,TRUE,105,135000,4,42800,-0.5,5.2,28.76,Saint-Etienne,small,1
Jun-22,1385.964912,Decreased,26/06/2022,185038939,FALSE,FALSE,57,79000,3,42100,-0.5,5.2,28.76,Saint-Etienne,large,1
Jun-22,1799.606336,Stayed the same,26/06/2022,185739129,TRUE,FALSE,106.69,192000,1,42100,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1322.222222,Decreased,26/06/2022,186040117,TRUE,FALSE,45,59500,3,42700,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1309.505469,Stayed the same,26/06/2022,187725759,FALSE,FALSE,64.91,85000,3,42000,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1187.5,Decreased,26/06/2022,186067581,FALSE,FALSE,80,95000,4,42400,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,1637.681159,Stayed the same,26/06/2022,187794179,FALSE,FALSE,69,113000,3,42300,-0.5,5.2,28.76,Saint-Etienne,medium,1
Jun-22,2568.093385,Stayed the same,26/06/2022,187985863,TRUE,FALSE,64.25,165000,3,83300,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,3163.091175,Decreased,26/06/2022,184408563,FALSE,FALSE,82.04,259500,4,83140,-0.5,5.2,28.76,Toulon,small,1
Jun-22,3579.545455,Stayed the same,26/06/2022,185541005,FALSE,FALSE,88,315000,5,83310,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,2967.391304,Decreased,26/06/2022,184052767,FALSE,FALSE,69,204750,3,83700,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,4926.470588,Stayed the same,26/06/2022,185987807,TRUE,FALSE,68,335000,3,83600,-0.5,5.2,28.76,Toulon,small,1
Jun-22,4561.403509,Stayed the same,26/06/2022,187841919,TRUE,FALSE,57,260000,3,83230,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,2200.357782,Stayed the same,26/06/2022,187376557,FALSE,FALSE,55.9,123000,2,83340,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,2341.176471,Stayed the same,26/06/2022,186701971,FALSE,FALSE,85,199000,3,83570,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,3662.790698,Stayed the same,26/06/2022,186909851,TRUE,FALSE,43,157500,2,83700,-0.5,5.2,28.76,Toulon,small,2
Jun-22,1809.52381,Decreased,26/06/2022,186132843,TRUE,FALSE,42,76000,2,83340,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,5661.764706,Stayed the same,26/06/2022,187384005,FALSE,FALSE,68,385000,2,83700,-0.5,5.2,28.76,Toulon,small,1
Jun-22,5157.170923,Stayed the same,26/06/2022,187822501,TRUE,FALSE,61.08,315000,3,83260,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,2135.678392,Stayed the same,26/06/2022,178563315,TRUE,FALSE,79.6,170000,4,83136,-0.5,5.2,28.76,Toulon,small,1
Jun-22,8584.415584,Stayed the same,26/06/2022,183203481,FALSE,FALSE,77,661000,3,83120,-0.5,5.2,28.76,Toulon,medium,2
Jun-22,1825.842697,Decreased,26/06/2022,184208821,TRUE,FALSE,35.6,65000,2,83300,-0.5,5.2,28.76,Toulon,small,2
Jun-22,1906.412478,Stayed the same,26/06/2022,184577571,FALSE,FALSE,51.93,99000,3,83000,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,6447.439353,Stayed the same,26/06/2022,188107513,FALSE,TRUE,92.75,598000,4,83700,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,4013.254786,Stayed the same,26/06/2022,188095235,TRUE,TRUE,27.16,109000,1,83700,-0.5,5.2,28.76,Toulon,medium,1
Jun-22,3864.102564,Stayed the same,26/06/2022,187916099,FALSE,FALSE,39,150700,2,49000,-0.5,5.2,28.76,Angers,small,1
Jun-22,4124.444444,Stayed the same,26/06/2022,188053803,FALSE,TRUE,90,371200,5,49100,-0.5,5.2,28.76,Angers,medium,1
Jun-22,4308.802931,Stayed the same,26/06/2022,188098615,FALSE,TRUE,92.81,399900,4,49100,-0.5,5.2,28.76,Angers,small,1
Jun-22,2784.615385,Stayed the same,26/06/2022,187123013,TRUE,FALSE,65,181000,3,49100,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3048.275862,Stayed the same,26/06/2022,187281577,FALSE,FALSE,87,265200,4,49100,-0.5,5.2,28.76,Angers,medium,1
Jun-22,3298.097252,Stayed the same,26/06/2022,186479701,FALSE,FALSE,80.41,265200,5,49100,-0.5,5.2,28.76,Angers,medium,1
Jun-22,2367.213115,Stayed the same,26/06/2022,187233005,FALSE,FALSE,61,144400,3,49100,-0.5,5.2,28.76,Angers,medium,1
Jun-22,2189.130435,Stayed the same,26/06/2022,182868733,FALSE,FALSE,92,201400,3,49300,-0.5,5.2,28.76,Angers,medium,1
